label,message
ham,hmmm thk sure got time hop ard ya go 4 free abt muz call u discus liao
ham,im turning phone mom telling everyone cancer sister wont stop calling hurt talk cant put see u u get home love u
ham,im done oredi
spam,thanks ringtone order ref number k718 mobile charged £450 tone arrive please call customer service 09065069120
ham,ok msg u b4 leave house
ham,realy sorryi dont recognise number confused r u please
ham,saw messageit k da
ham,hows watch resizing
ham,siva hostel aha
ham,thats cool sometimes slow gentle sonetimes rough hard
spam,u 447801259231 secret admirer looking 2 make contact ufind rreveal think ur specialcall 09058094597
spam,free2day sexy st george day pic jordantxt pic 89080 dont miss every wk saucy celeb4 pic c pocketbabecouk 0870241182716 £3wk
ham,catch bus frying egg make tea eating mom left dinner feel love
ham,dear denying word please
spam,thanks vote sing along star karaoke mobile free link reply sing
ham,omg one thing another cat worm bad day end
spam,contract mobile 11 mnths latest motorola nokia etc free double min text orange tariff text yes callback remove record
spam,sexy sexy cum text im wet warm ready porn u fun msg free recd msg 150p inc vat 2 cancel text stop
ham,reach home safe n sound liao
ham,wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob
ham,thought praps meant another one goodo ill look tomorrow
ham,compliment away system side
ham,babe lost
ham,probably money worry thing coming due several outstanding invoice work two three month ago
ham,thanks yesterday sir wonderful hope enjoyed burial mojibiola
ham,xy ur car u picking
spam,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed £1000 cash £5000 prize
ham,come home one last time wont anything trust
ham,princess bet brothas chasing
ham,hi chachi tried calling u unable reach u pl give missed cal u c tiz msg kanagu
ham,eh sorry leh din c ur msg sad already lar watching tv u still office
ham,k want u come
ham,quite ok bit ex u better go eat smth else ill feel guilty
ham,text way cup stop work bus
ham,tot u outside co darren say u come shopping course nice wat jus went sim lim look mp3 player
ham,cant pick phone right pls send message
spam,currently message awaiting collection collect message call 08718723815
ham,quite lor dun tell wait get complacent
ham,sorry ill call later
ham,5 2 work timing
ham,room
ham,dont search love let love find u thats called falling love bcoz u dont force u fall u know smeone hold u bslvyl
spam,hi customer loyalty offerthe new nokia6650 mobile £10 txtauction txt word start 81151 get 4tctxt tc 150pmtmsg
ham,bill letter ’ expecting one orange ’ bill may still say orange
spam,cmon babe make horny turn txt fantasy babe im hot sticky need reply cost £150 2 cancel send stop
ham,thk u dun haf 2 hint e forum already lor co told ron n darren going 2 tell shuhui
ham,whole car appreciated last two dad map reading semi argument apart thing going ok p
ham,hey cutie go wale kinda ok like hill shit still avent killed
ham,play w computer aiyah tok 2 u lor
ham,think actually talk call bos morning went place last year told could go get car fixed cheaper kept telling today much hoped would come back always regretted getting number etc
ham,ok april cant wait
ham,doesnt g class early tomorrow thus shouldnt trying smoke ltgt
spam,fancy shag dointerested sextextukcom txt xxuk suzy 69876 txts cost 150 per msg tncs website x
ham,hi shanilrakhesh herethanksi exchanged uncut diamond stuffleaving back excellent service dino prem
ham,yeah probably earlier
ham,class hour sorry
ham,im town ill jus take mrt later
ham,huh late fr dinner
ham,hungry
spam,credit topped httpwwwbubbletextcom renewal pin tgxxrz
ham,cant dont number
spam,ringtone club get uk single chart mobile week choose top quality ringtone message free charge
ham,yup paragon havent decided whether 2 cut yet hee
ham,since side fever vomitin
ham,going goodno problembut still need little experience understand american customer voice
spam,text meet someone sexy today u find date even flirt u join 4 10p reply name age eg sam 25 18 msg recdthirtyeight penny
ham,tension ahwhat machiany problem
ham,like v shock leh co telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor
ham,sorry trouble u buy 4d dad 1405 1680 1843 2 big 1 small sat n sun thanx
ham,popping ltgt ibuprofen help
spam,123 congratulation week competition draw u £1450 prize claim call 09050002311 b4280703 tcsstop sm 08718727868 18 150ppm
ham,hey sexy bun told adore loverboy hope remember thank sister law meatball grin love babe
ham,hi roger cl
ham,goodnight sleep well da please take care pa please
ham,friendship game play word say doesn\t start march end may tomorrow yesterday today e
ham,ic lotta childporn car
ham,bothering trust answer pls
ham,hey sorry didntgive ya bellearlier hunnyjust bedbut mite go 2 thepub l8tr uwana mt uploads luv jenxxx
ham,ü dun need pick ur gf
ham,bloo bloo bloo ill miss first bowl
ham,staffsciencenusedusgphyhcmkteachingpc1323
ham,yup im free
ham,available soiree june 3rd
ham,yes appt
ham,wont anything de
ham,wonder co dun rem seeing silver car thk saw black one
spam,ur chance win £250 cash every wk txt action 80608 tscs wwwmovietriviatv custcare 08712405022 1x150pwk
ham,lei
ham,please tell special stock talking
ham,much blackberry bold2 nigeria
ham,hi wont b ard 4 christmas enjoy n merry xmas
ham,well told others youd marry
ham,hey babe friend cancel still visit
ham,hows husband
spam,new mobile 2004 must go txt nokia 89545 collect today £1 www4tcbiz 2optout 08718726270150gbpmtmsg18 txtauction
spam,mila age23 blonde new uk look sex uk guy u like fun text mtalk 6986618 30pptxt 1st 5free £150 increment help08718728876
spam,bloomberg message center 447797706009 wait apply future httpcareers bloombergcom
ham,ok good making money
ham,saw guy doll last night patrick swayze great
ham,check room befor activity
ham,im home n ready
ham,late need go n get da laptop
ham,anyway im going shopping co si done yet dun disturb u liao
ham,telling tell one treat hi hi hi
ham,pick bout 730ish time going
ham,come n pick ü come immediately aft ur lesson
ham,designation software developer may get chennai
ham,u ask next sat make im ok lor
ham,download clear movie dvd copy
ham,networking job
ham,3 pa selected
ham,much payed suganya
ham,im going 4 lunch wif family aft dat go str 2 orchard lor
ham,okie
ham,good afternoon starshine hows boytoy crave yet ache fuck sip cappuccino miss babe teasing kiss
ham,r ü comin back dinner
ham,nan sonathaya soladha bos
ham,somewhr someone surely made 4 u god decided perfect time make u meet dat person till den enjoy ur crush
ham,nofew hour beforewent hair cut
ham,wats da model num ur phone
ham,hmmm mayb try e shoppin area one forgot e name hotel
ham,arm fine hows cardiff uni
ham,pussy perfect
ham,thk ü got ta go home urself co ill b going shopping 4 frens present
ham,todaysundaysunday holidayso work
ham,say bold torch later one torch 2bold
ham,thats cool gentleman treat dignity respect
spam,promotion number 8714714 ur awarded city break could win £200 summer shopping spree every wk txt store 88039 skilgme tscs087147403231winawkage16 £150perwksub
spam,auction round 4 highest bid £54 next maximum bid £71 bid send bid e g 10 bid £10 83383 good luck
ham,ola would get back maybe today told direct link u getting car bid online arrange shipping get cut u partnership u invest money shipping take care restuwud b self reliant soon dnt worry
spam,hi 07734396839 ibh customer loyalty offer new nokia6600 mobile £10 txtauctiontxt wordstart no81151 get now4t
ham,lol alright thinkin haha
ham,ugh cant u apologize admit u wrong ask take u back
ham,ard 4 lor
ham,tomorrow going theatre come wherever u call tell come tomorrow
ham,thanks talk saturday dear cherish brother role model
ham,still coming tonight
ham,supposed couldnt make shes still town though
ham,want finally lunch today
ham,seems like weird timing night g want come smoke day shitstorm attributed always coming making everyone smoke
ham,cant pick phone right pls send message
ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,cause im freaky lol
ham,fujitsu series lifebook good
ham,u wearing
ham,im leaving house
ham,erutupalam thandiyachu
ham,hows going got exciting karaoke type activity planned im debating whether play football eve feeling lazy though
ham,k call ah
ham,wake since checked stuff saw true available space pls call embassy send mail
ham,height oh shit situation guy throw luv letter gal fall brother head who gayd
ham,tell address
ham,oh god im almost home
ham,fwiw reason im around time smoke gas afford around someone tell apparently happens somebody want light
ham,alright hooked guy
ham,okie thanx
ham,kkwhy cant come search job
ham,ok
ham,jus telling u dat ill b leaving 4 shanghai 21st instead well haf time 2 meet cya
ham,cant pick phone right pls send message
ham,gon na pick 1 burger way home cant even move pain killing
ham,ew one
ham,chk ur belovd m dict
ham,sir waiting call
spam,sorry missed call let talk time im 07090201529
ham,tall princess
ham,watching telugu moviewat abt u
ham,sfirst timedhoni rock
ham,hey iouri gave number im wylie ryans friend
ham,love as enjoy doggy style
ham,ki deleted contact
ham,whatever want know rule talk earlier week start happening showing responsibility yet every week bend rule way way whatever im tired thia argument every week ltgt movie doesnt inlude preview youre still getting 1
ham,pls dont restrict eating anythin like next two day
ham,ok would b lovely u r sure think wot u want drinkin dancin eatin cinema u wot
ham,7 lor change 2 suntec wat time u coming
ham,dont know jabo abi
ham,please give 2 pick tuesday evening 8 ok
ham,ok let u noe leave house
ham,congrats treat pendingi mail 2 dayswill mail thrurespect mother homecheck mail
ham,bbq sat mine 6ish ur welcome 2 come
ham,found enc ltgt
ham,okey dokey ‘ bit sorting stuff
ham,shall book chez jules half eight thats ok
ham,thanks tescos quite nice gone speak soon
ham,also track lighter find
spam,valued vodafone customer computer picked win £150 prize collect easy call 09061743386
ham,didnt get second half message
spam,ur tonexs subscription renewed charged £450 choose 10 polys month wwwclubzedcouk billing msg
ham,kkwhen going
ham,ok arm feeling weak cuz got shot go another time
spam,chance reality fantasy show call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call
ham,yes trust u buy new stuff asap try
ham,k happen tonight
ham,oh ok wats ur email
ham,stop wondering wow ever going stop tming tm whenever want mine laugh
spam,hard live 121 chat 60pmin choose girl connect live call 09094646899 cheap chat uk biggest live service vu bcm1896wc1n3xx
ham,way ive put skip right outside front house see house pull
ham,walked mom right stagwood pas right winterstone left victor hill address ltgt
ham,old orchard near univ
spam,knock knock txt whose 80082 enter r weekly draw 4 £250 gift voucher 4 store yr choice tc wwwtklscom age16 stoptxtstop£150week
ham,lover need
ham,really getting hanging around
ham,career tel added u contact indyarockscom send free sm remove phonebook sm ltgt
ham,okcome home vl nice meet v chat
ham,u
ham,haha think
ham,didnt complete gist oh
spam,back 2 work 2morro half term u c 2nite 4 sexy passion b4 2 go back chat 09099726481 luv dena call £1minmobsmorelkpobox177hp51fl
ham,é 140 ardé rest ard 180 leastwhich é price 4 é 2 bedrm 900
spam,b4u voucher wc 2703 marsms log onto wwwb4utelecom discount credit opt reply stop customer care call 08717168528
ham,single single answer fighting plus said broke didnt reply
ham,stop however suggest stay someone able give or every stool
ham,good evening sir hope nice day wanted bring notice late paying rent past month pay ltgt charge felt would inconsiderate nag something give great cost thats didnt speak however recession wont able pay charge month hence askin well ahead month end please help thank everything
ham,also remember get dobbys bowl car
ham,like love arrange
ham,ltgt thats guess thats easy enough
ham,meeting u work tel shall work tomorrow
ham,havent decided yet eh
ham,sent lanre fakeyes eckankar detail mail box
ham,b late love mum
spam,camera awarded sipix digital camera call 09061221066 fromm landline delivery within 28 day
ham,got new year co yetunde said wanted surprise didnt see money returned mid january ltgt day return period ended
ham,im office dawhere
spam,09066362231 urgent mobile 07xxxxxxxxx £2000 bonus caller prize 020603 2nd attempt reach call 09066362231 asap
ham,life nothing wen v get everything life everything wen v miss something real value people wil realized absence gud mrng
ham,oh fuck juswoke bed boatin dock slept wid 25 year old spinout giv u da gossip l8r xxx
ham,wah lucky man save money hee
ham,dont make ne plan nxt wknd coz want u come ok
ham,drama plsi enough family struggling hot sun strange placeno reason ego going invited actually necessity gowait serious reppurcussions
ham,yes replied mail im going management office later plus bank later alsoor wednesday
ham,also tell said happy birthday
ham,mon okie lor haha best cheap n gd food la ex oso okie depends whether wana eat western chinese food den u prefer
ham,already squatting new way walking
ham,well give co said ‘ one nighters persevered found one cheap apologise advance somewhere sleep isnt
ham,talk
ham,please come imin towndontmatter urgoin outl8rjust reallyneed 2docdplease dontplease dontignore mycallsu thecd isvimportant tome 4 2moro
ham,sorry im free
ham,fishrman woke early mrng dark waited amp found sack ful stone strtd throwin thm in2 sea 2 pas time atlast jus 1stone sun rose amp found tht r nt stone diamond moraldont wake early mrng good night
ham,soon real thing princess make wet
ham,sorry ill call later
ham,pls help tell ashley cant find number oh
ham,headin towards busetop
ham,please ask macho price range want something new used plus interfued blackberry bold ltgt bb
ham,part checking iq
ham,really hope work doesnt get stressful gr8 day
ham,lot happened feel quiet beth aunt charlie working lot helen mo
ham,sorry ill call later
ham,oh come ah
ham,except there chick huge boob
ham,thk 530 lor dunno get ticket wat u
ham,desire u going doctor 4 liver get bit stylish get ur hair managed thats
ham,kkare college
ham,oic co n si got lunch today dad went dunno whether 2 eat sch wat
ham,oh okie lorwe go sat
ham,argh 3g spotty anyway thing remember research province sterling problemfree place looked
ham,ill meet lobby
spam,u secret admirer looking 2 make contact ufind rreveal think ur specialcall 09058094599
spam,urgent mobile 077xxx £2000 bonus caller prize 020603 2nd attempt reach call 09066362206 asap box97n7qp 150ppm
ham,ive reached home n bathe liao u call
ham,place ur point e culture module already
spam,urgent trying contact u today draw show £2000 prize guaranteed call 09066358361 land line claim y87 valid 12hrs
ham,babe need advice
ham,gon na ask lol think 7
ham,reason weve spoken year anyways great week best exam
ham,hmm thinking lor
ham,also da feel yesterday night wait til 2day night dear
ham,yo way could pick something tonight
ham,ever one foot
ham,tell theyre female v howre throwing deciding get
ham,ya even cooky jelly
