message,label
urgent mobile number £2000 bonus caller prize 100603 2nd attempt reach call 09066368753 asap box 97n7qp 150ppm,1
ok thanx gd nite 2 ü,0
home always chat,0
chosen receive £350 award pls call claim number 09066364311 collect award selected receive valued mobile customer,1
think …thanks see tomo,0
escape theatre going watch kavalan minute,0
guess somebody know secretly fancy wan na find give u call 09065394514 landline datebox1282essexcm61xn 150pmin 18,1
ask u meeting da ge tmr nite,0
messageno responcewhat happend,0
yesterday true true,0
crucify c told earlier,0
going college pa else ill come self pa,0
yeah gang ready,0
winner specially selected receive £1000 cash £2000 award speak live operator claim call 087147123779am7pm cost 10p,1
hope youre much fun without see u tomorrow love jess x,0
send id password,0
ya nowonion roast,0
tmrw im finishing 9 door,0
dear mood cant drive brother drive,0
k wen ur free come home also tel vikky hav sent mail also better come evening il free today aftr 6pm,0
actual exam harder nbme,0
somewhere fredericksburg,0
said went back bed cant sleep anything,0
yeah dont go bed ill back midnight,0
double eviction week spiral michael good riddance,0
know mood today,0
thank like well,0
wonder phone battery went dead tell love babe,0
call like ltgt time oh give u hypertension oh,0
babe miiiiiiissssssssss need crave geeee im sad without babe love,0
either idea know anyplaces something,0
welcome select o2 service added benefit call specially trained advisor free mobile dialling 402,1
cool last little getting time soon,0
oh icic k lor den meet day,0
nothing u dinner w u,0
standing,0
r outside already,0
hey pay salary de ltgt,0
oh k got job whats,0
ok ive sent u da latest version da project,0
dont forget though love walk beside watching keeping heart warm,0
would like see xxx pic hot nearly banned uk,1
yunny im goin late,0
cool ill text,0
congratulation ur awarded either £500 cd gift voucher free entry 2 £100 weekly draw txt music 87066 tncs wwwldewcom 1 win150ppmx3age16,1
adult 18 content video shortly,1
oh half hour much longer syria canada eh wow must get much work done day u extra time grin,0
please dont text anymore nothing else say,0
great comedycant stop laughing da,0
yup thk cine better co need 2 go 2 plaza mah,0
wan na get laid 2nite want real dogging location sent direct ur mobile join uk largest dogging network txt park 69696 nyt ec2a 3lp £150msg,1
huh fast dat mean u havent finished painting,0
yuou working getting pc mom find spot would work need,0
wat time u wan 2 meet later,0
wat make people dearer de happiness dat u feel u meet de pain u feel u miss dem,0
k ill head min see,0
tried contact offer new video phone 750 anytime network min half price rental camcorder call 08000930705 reply delivery wed,1
dear know ltgt th ltgt th birthday loving gopalettan planning give small gift day like participate welcome please contact admin team detail,0
buy pizza meat lover supreme u get pick,0
beauty sleep help ur pimple,0
goodo yes must speak friday eggpotato ratio tortilla needed,0
alright ill make sure car back tonight,0
nothing meant money enters account bank remove flat rate someone transfered ltgt account ltgt dollar got removed bank differ charge also differbe sure trust 9ja person sending account detail co,0
check error difficulty correction,0
playin space poker u,0
truekdo u knw dis ltgt,0
en chikku nange bakra msg kalstiyathen teacoffee,0
mean get door,0
tmr timin still da wat co got lesson 6,0
sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo,0
thanx 4 2day u r goodmate think ur rite sary asusual1 u cheered love u franyxxxxx,0
ok need tell anything going sleep good night,0
hello got st andrewsboy long way cold keep posted,0
nope wif si lor aft bathing dog bathe look like going 2 rain soon,0
horrible gal sch stuff come u got mc,0
unni thank dear rechargerakhesh,0
aft finish lunch go str lor ard 3 smth lor u finish ur lunch already,0
sent de webadres geting salary slip,0
tell who pls,0
ü wan 2 meet n combine part hows da rest da project going,0
exact intention,0
one joy lifeis waking daywith thought somewheresomeone care enough tosend warm morning greeting,0
yes rent expensive way save,0
lmao wheres fish memory need,0
free 1st week no1 nokia tone 4 ur mob every week txt nokia 87077 get txting tell ur mate zed pobox 36504 w45wq norm150ptone 16,1
im meeting call later,0
eh den sat u book e kb liao huh,0
thanks ringtone order reference number x49 mobile charged 450 tone arrive please call customer service 09065989182 colourredtextcolourtxtstar,1
yes dont care cause know,0
goin workout lor muz lose e fat,0
screaming mean shouting,0
alrite hunnywot u 2 2nite didnt end goin town jus da pub instead jus chillin da mo bedroomlove jen xxx,0
see letter b car,0
making dinner,0
ha ha popped loo helloed hello,0
hi amy sending free phone number couple day give access adult party,1
nokia 7250i get win free auction take part send nokia 86021 hgsuite3422lands roww1jhl 16,1
kthen special,0
sir good morning hope good weekend called let know able raise ltgt dad however said would make rest available mid feb amount still quite short hoping would help good day abiola,0
thank much selflessness love plenty,0
feel like dick keep sleeping text facebook message sup town,0
kind missed train co asthma attack nxt one half hr driving sure park,0
eastenders tv quiz flower dot compare violet e tulip f lily txt e f 84025 4 chance 2 win £100 cash wkent150p16,1
im smoking people use wylie smoke much justify ruining shit,0
man carlos definitely coming mu tonight excuse,0
hi dear call urgnt dont know whats problem dont want work problem least tell wating reply,0
make 3 4 fuck sake x,0
ok ill right later,0
free entry £250 weekly comp send word enter 84128 18 tc wwwtextcompcom cust care 08712405020,1
pathaya enketa maraikara pa,0
ee msg na poortiyagi odalebeku hanumanji 7 name 1hanuman 2bajarangabali 3maruti 4pavanaputra 5sankatmochan 6ramaduth 7mahaveer ee 7 name ltgt janarige ivatte kalisidare next saturday olage ondu good news keluviri maretare inde 1 dodda problum nalli siguviri idu matra ltgt true dont neglet,0
u free sat rite u wan 2 watch infernal affair wif n darren n mayb xy,0
buy,0
carlos pick ill swing usf little bit,0
time ur flight tmr,0
wil ltgt minute got space,0
erm woodland avenue somewhere get parish magazine telephone number,0
tessypls favor pls convey birthday wish nimyapls dnt forget today birthday shijas,0
know people hit fuck yes,0
ugh got ta drive back sd la butt sore,0
never try alone take weight tear come ur heart fall ur eye always remember stupid friend share bslvyl,0
great hope like man well endowed ltgt inch,0
yes thought thanks,0
place want da,0
nope think go monday sorry replied late,0
yup ü comin,0
annoying isnt,0
pick rayan macleran,0
like made throw smoking friend car one time awesome,0
sorry dai thought calling lot timeslil busyi call noon,0
2 student solved cat question xam 532 ltgt 924 ltgt 863 ltgt 725 tell answer u r brilliant1thingi got answr,0
nah im perpetual dd,0
unique enough find 30th august wwwareyouuniquecouk,1
lick every drop ready use mouth well,0
send new number,0
phony £350 award today voda number ending xxxx selected receive £350 award match please call 08712300220 quoting claim code 3100 standard rate app,1
kaiez enjoy ur tuition gee thk e second option sound beta ill go yan jiu den msg u,0
hex place talk explain,0
aight tomorrow around ltgt,0
big god bring success,0
he gon na worry nothing wont give money use,0
happy new year u ur familymay new year bring happiness stability tranquility ur vibrant colourful life,0
u studying sch going home anyway ill b going 2 sch later,0
stupidits possible,0
18 day euro2004 kickoff u kept informed latest news result daily unsubscribe send get euro stop 83222,1
wont move morphine,0
free 1st week no1 nokia tone 4 ur mob every week txt nokia 8007 get txting tell ur mate wwwgetzedcouk pobox 36504 w45wq norm150ptone 16,1
either way work ltgt year old hope doesnt bother,0
aiyar sorry lor forgot 2 tell u,0
aight text youre back mu ill swing need somebody get door,0
forwarded 88877free entry £250 weekly comp send word enter 88877 18 tc wwwtextcompcom,1
gobi art college,0
u win £100 music gift voucher every week starting txt word draw 87066 tscs wwwidewcom skillgame 1winaweek age16 150ppermesssubscription,1
lol ok ill try send warned sprint dead slow youll prolly get tomorrow,0
feel always happy slowly becomes habit amp finally becomes part life follow happy morning amp happy day,0
ill 3 min look,0
yup thk r e teacher said make face look longer darren ask 2 cut short,0
dont worry easy ingredient,0
id like tell deepest darkest fantasy call 09094646631 60pmin stop text call 08712460324 nat rate,1
hows queen going royal wedding,0
talk sexy make new friend fall love world discreet text dating service text vip 83110 see could meet,1
ya ü taking ure practical lesson start june,0
free video camera phone half price line rental 12 mths 500 cross ntwk min 100 txts call mobileupd8 08001950382 call2optout674,1
sm service inclusive text credit pls goto wwwcomuknet login 3qxj9 unsubscribe stop extra charge help 08702840625comuk 220cm2 9ae,1
edison rightly said fool ask question wise man answer know u speechless viva gmgngegnt,0
call 09094100151 use ur min call cast 10pmin mob vary service provided aom gbp5month aom box61m60 1er u stop age 18,1
water logging desert geoenvironmental implication,0
actually sleeping still might u call back text gr8 rock si send u text wen wake,0
long applebees fucking take,0
ur cashbalance currently 500 pound maximize ur cashin send go 86688 150pmsg cc 08718720201 hgsuite3422lands roww1j6hl,1
got new job bar airport satsgettin 447per hour mean lie keep touch,0
come right ahmad,0
better still catch let ask sell ltgt,0
sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 £150 sptyrone,1
simpson movie released july 2007 name band died start film agreen day bblue day cred day send b c,1
twinks bear scallies skin jock calling dont miss weekend fun call 08712466669 10pmin 2 stop text call 08712460324nat rate,1
ugh dont wan na get bed warm,0
hmmm thk sure got time hop ard ya go 4 free abt muz call u discus liao,0
im turning phone mom telling everyone cancer sister wont stop calling hurt talk cant put see u u get home love u,0
im done oredi,0
thanks ringtone order ref number k718 mobile charged £450 tone arrive please call customer service 09065069120,1
ok msg u b4 leave house,0
realy sorryi dont recognise number confused r u please,0
saw messageit k da,0
hows watch resizing,0
siva hostel aha,0
thats cool sometimes slow gentle sonetimes rough hard,0
u 447801259231 secret admirer looking 2 make contact ufind rreveal think ur specialcall 09058094597,1
free2day sexy st george day pic jordantxt pic 89080 dont miss every wk saucy celeb4 pic c pocketbabecouk 0870241182716 £3wk,1
catch bus frying egg make tea eating mom left dinner feel love,0
dear denying word please,0
thanks vote sing along star karaoke mobile free link reply sing,1
omg one thing another cat worm bad day end,0
contract mobile 11 mnths latest motorola nokia etc free double min text orange tariff text yes callback remove record,1
sexy sexy cum text im wet warm ready porn u fun msg free recd msg 150p inc vat 2 cancel text stop,1
reach home safe n sound liao,0
wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob,0
thought praps meant another one goodo ill look tomorrow,0
compliment away system side,0
babe lost,0
probably money worry thing coming due several outstanding invoice work two three month ago,0
thanks yesterday sir wonderful hope enjoyed burial mojibiola,0
xy ur car u picking,0
please call customer service representative freephone 0808 145 4742 9am11pm guaranteed £1000 cash £5000 prize,1
come home one last time wont anything trust,0
princess bet brothas chasing,0
hi chachi tried calling u unable reach u pl give missed cal u c tiz msg kanagu,0
eh sorry leh din c ur msg sad already lar watching tv u still office,0
k want u come,0
quite ok bit ex u better go eat smth else ill feel guilty,0
text way cup stop work bus,0
tot u outside co darren say u come shopping course nice wat jus went sim lim look mp3 player,0
cant pick phone right pls send message,0
currently message awaiting collection collect message call 08718723815,1
quite lor dun tell wait get complacent,0
sorry ill call later,0
5 2 work timing,0
room,0
dont search love let love find u thats called falling love bcoz u dont force u fall u know smeone hold u bslvyl,0
hi customer loyalty offerthe new nokia6650 mobile £10 txtauction txt word start 81151 get 4tctxt tc 150pmtmsg,1
bill letter ’ expecting one orange ’ bill may still say orange,0
cmon babe make horny turn txt fantasy babe im hot sticky need reply cost £150 2 cancel send stop,1
thk u dun haf 2 hint e forum already lor co told ron n darren going 2 tell shuhui,0
whole car appreciated last two dad map reading semi argument apart thing going ok p,0
hey cutie go wale kinda ok like hill shit still avent killed,0
play w computer aiyah tok 2 u lor,0
think actually talk call bos morning went place last year told could go get car fixed cheaper kept telling today much hoped would come back always regretted getting number etc,0
ok april cant wait,0
doesnt g class early tomorrow thus shouldnt trying smoke ltgt,0
fancy shag dointerested sextextukcom txt xxuk suzy 69876 txts cost 150 per msg tncs website x,1
hi shanilrakhesh herethanksi exchanged uncut diamond stuffleaving back excellent service dino prem,0
yeah probably earlier,0
class hour sorry,0
im town ill jus take mrt later,0
huh late fr dinner,0
hungry,0
credit topped httpwwwbubbletextcom renewal pin tgxxrz,1
cant dont number,0
ringtone club get uk single chart mobile week choose top quality ringtone message free charge,1
yup paragon havent decided whether 2 cut yet hee,0
since side fever vomitin,0
going goodno problembut still need little experience understand american customer voice,0
text meet someone sexy today u find date even flirt u join 4 10p reply name age eg sam 25 18 msg recdthirtyeight penny,1
tension ahwhat machiany problem,0
like v shock leh co telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor,0
sorry trouble u buy 4d dad 1405 1680 1843 2 big 1 small sat n sun thanx,0
popping ltgt ibuprofen help,0
123 congratulation week competition draw u £1450 prize claim call 09050002311 b4280703 tcsstop sm 08718727868 18 150ppm,1
hey sexy bun told adore loverboy hope remember thank sister law meatball grin love babe,0
hi roger cl,0
goodnight sleep well da please take care pa please,0
friendship game play word say doesn\t start march end may tomorrow yesterday today e,0
ic lotta childporn car,0
bothering trust answer pls,0
hey sorry didntgive ya bellearlier hunnyjust bedbut mite go 2 thepub l8tr uwana mt uploads luv jenxxx,0
ü dun need pick ur gf,0
bloo bloo bloo ill miss first bowl,0
staffsciencenusedusgphyhcmkteachingpc1323,0
yup im free,0
available soiree june 3rd,0
yes appt,0
wont anything de,0
wonder co dun rem seeing silver car thk saw black one,0
ur chance win £250 cash every wk txt action 80608 tscs wwwmovietriviatv custcare 08712405022 1x150pwk,1
lei,0
please tell special stock talking,0
much blackberry bold2 nigeria,0
hi wont b ard 4 christmas enjoy n merry xmas,0
well told others youd marry,0
hey babe friend cancel still visit,0
hows husband,0
new mobile 2004 must go txt nokia 89545 collect today £1 www4tcbiz 2optout 08718726270150gbpmtmsg18 txtauction,1
mila age23 blonde new uk look sex uk guy u like fun text mtalk 6986618 30pptxt 1st 5free £150 increment help08718728876,1
bloomberg message center 447797706009 wait apply future httpcareers bloombergcom,1
ok good making money,0
saw guy doll last night patrick swayze great,0
check room befor activity,0
im home n ready,0
late need go n get da laptop,0
anyway im going shopping co si done yet dun disturb u liao,0
telling tell one treat hi hi hi,0
pick bout 730ish time going,0
come n pick ü come immediately aft ur lesson,0
designation software developer may get chennai,0
u ask next sat make im ok lor,0
download clear movie dvd copy,0
networking job,0
3 pa selected,0
much payed suganya,0
im going 4 lunch wif family aft dat go str 2 orchard lor,0
okie,0
good afternoon starshine hows boytoy crave yet ache fuck sip cappuccino miss babe teasing kiss,0
r ü comin back dinner,0
nan sonathaya soladha bos,0
somewhr someone surely made 4 u god decided perfect time make u meet dat person till den enjoy ur crush,0
nofew hour beforewent hair cut,0
wats da model num ur phone,0
hmmm mayb try e shoppin area one forgot e name hotel,0
arm fine hows cardiff uni,0
pussy perfect,0
thk ü got ta go home urself co ill b going shopping 4 frens present,0
todaysundaysunday holidayso work,0
say bold torch later one torch 2bold,0
thats cool gentleman treat dignity respect,0
promotion number 8714714 ur awarded city break could win £200 summer shopping spree every wk txt store 88039 skilgme tscs087147403231winawkage16 £150perwksub,1
auction round 4 highest bid £54 next maximum bid £71 bid send bid e g 10 bid £10 83383 good luck,1
ola would get back maybe today told direct link u getting car bid online arrange shipping get cut u partnership u invest money shipping take care restuwud b self reliant soon dnt worry,0
hi 07734396839 ibh customer loyalty offer new nokia6600 mobile £10 txtauctiontxt wordstart no81151 get now4t,1
lol alright thinkin haha,0
ugh cant u apologize admit u wrong ask take u back,0
ard 4 lor,0
tomorrow going theatre come wherever u call tell come tomorrow,0
thanks talk saturday dear cherish brother role model,0
still coming tonight,0
supposed couldnt make shes still town though,0
want finally lunch today,0
seems like weird timing night g want come smoke day shitstorm attributed always coming making everyone smoke,0
cant pick phone right pls send message,0
go jurong point crazy available bugis n great world la e buffet cine got amore wat,0
cause im freaky lol,0
fujitsu series lifebook good,0
u wearing,0
im leaving house,0
erutupalam thandiyachu,0
hows going got exciting karaoke type activity planned im debating whether play football eve feeling lazy though,0
k call ah,0
wake since checked stuff saw true available space pls call embassy send mail,0
height oh shit situation guy throw luv letter gal fall brother head who gayd,0
tell address,0
oh god im almost home,0
fwiw reason im around time smoke gas afford around someone tell apparently happens somebody want light,0
alright hooked guy,0
okie thanx,0
kkwhy cant come search job,0
ok,0
jus telling u dat ill b leaving 4 shanghai 21st instead well haf time 2 meet cya,0
cant pick phone right pls send message,0
gon na pick 1 burger way home cant even move pain killing,0
ew one,0
chk ur belovd m dict,0
sir waiting call,0
sorry missed call let talk time im 07090201529,1
tall princess,0
watching telugu moviewat abt u,0
sfirst timedhoni rock,0
hey iouri gave number im wylie ryans friend,0
love as enjoy doggy style,0
ki deleted contact,0
whatever want know rule talk earlier week start happening showing responsibility yet every week bend rule way way whatever im tired thia argument every week ltgt movie doesnt inlude preview youre still getting 1,0
pls dont restrict eating anythin like next two day,0
ok would b lovely u r sure think wot u want drinkin dancin eatin cinema u wot,0
7 lor change 2 suntec wat time u coming,0
dont know jabo abi,0
please give 2 pick tuesday evening 8 ok,0
ok let u noe leave house,0
congrats treat pendingi mail 2 dayswill mail thrurespect mother homecheck mail,0
bbq sat mine 6ish ur welcome 2 come,0
found enc ltgt,0
okey dokey ‘ bit sorting stuff,0
shall book chez jules half eight thats ok,0
thanks tescos quite nice gone speak soon,0
also track lighter find,0
valued vodafone customer computer picked win £150 prize collect easy call 09061743386,1
didnt get second half message,0
ur tonexs subscription renewed charged £450 choose 10 polys month wwwclubzedcouk billing msg,1
kkwhen going,0
ok arm feeling weak cuz got shot go another time,0
chance reality fantasy show call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call,1
yes trust u buy new stuff asap try,0
k happen tonight,0
oh ok wats ur email,0
stop wondering wow ever going stop tming tm whenever want mine laugh,0
hard live 121 chat 60pmin choose girl connect live call 09094646899 cheap chat uk biggest live service vu bcm1896wc1n3xx,1
way ive put skip right outside front house see house pull,0
walked mom right stagwood pas right winterstone left victor hill address ltgt,0
old orchard near univ,0
knock knock txt whose 80082 enter r weekly draw 4 £250 gift voucher 4 store yr choice tc wwwtklscom age16 stoptxtstop£150week,1
lover need,0
really getting hanging around,0
career tel added u contact indyarockscom send free sm remove phonebook sm ltgt,0
okcome home vl nice meet v chat,0
u,0
haha think,0
didnt complete gist oh,0
back 2 work 2morro half term u c 2nite 4 sexy passion b4 2 go back chat 09099726481 luv dena call £1minmobsmorelkpobox177hp51fl,1
é 140 ardé rest ard 180 leastwhich é price 4 é 2 bedrm 900,0
b4u voucher wc 2703 marsms log onto wwwb4utelecom discount credit opt reply stop customer care call 08717168528,1
single single answer fighting plus said broke didnt reply,0
stop however suggest stay someone able give or every stool,0
good evening sir hope nice day wanted bring notice late paying rent past month pay ltgt charge felt would inconsiderate nag something give great cost thats didnt speak however recession wont able pay charge month hence askin well ahead month end please help thank everything,0
also remember get dobbys bowl car,0
like love arrange,0
ltgt thats guess thats easy enough,0
meeting u work tel shall work tomorrow,0
havent decided yet eh,0
sent lanre fakeyes eckankar detail mail box,0
b late love mum,0
camera awarded sipix digital camera call 09061221066 fromm landline delivery within 28 day,1
got new year co yetunde said wanted surprise didnt see money returned mid january ltgt day return period ended,0
im office dawhere,0
09066362231 urgent mobile 07xxxxxxxxx £2000 bonus caller prize 020603 2nd attempt reach call 09066362231 asap,1
life nothing wen v get everything life everything wen v miss something real value people wil realized absence gud mrng,0
oh fuck juswoke bed boatin dock slept wid 25 year old spinout giv u da gossip l8r xxx,0
wah lucky man save money hee,0
dont make ne plan nxt wknd coz want u come ok,0
drama plsi enough family struggling hot sun strange placeno reason ego going invited actually necessity gowait serious reppurcussions,0
yes replied mail im going management office later plus bank later alsoor wednesday,0
also tell said happy birthday,0
mon okie lor haha best cheap n gd food la ex oso okie depends whether wana eat western chinese food den u prefer,0
already squatting new way walking,0
well give co said ‘ one nighters persevered found one cheap apologise advance somewhere sleep isnt,0
talk,0
please come imin towndontmatter urgoin outl8rjust reallyneed 2docdplease dontplease dontignore mycallsu thecd isvimportant tome 4 2moro,0
sorry im free,0
fishrman woke early mrng dark waited amp found sack ful stone strtd throwin thm in2 sea 2 pas time atlast jus 1stone sun rose amp found tht r nt stone diamond moraldont wake early mrng good night,0
soon real thing princess make wet,0
sorry ill call later,0
pls help tell ashley cant find number oh,0
headin towards busetop,0
please ask macho price range want something new used plus interfued blackberry bold ltgt bb,0
part checking iq,0
really hope work doesnt get stressful gr8 day,0
lot happened feel quiet beth aunt charlie working lot helen mo,0
sorry ill call later,0
oh come ah,0
except there chick huge boob,0
thk 530 lor dunno get ticket wat u,0
desire u going doctor 4 liver get bit stylish get ur hair managed thats,0
kkare college,0
oic co n si got lunch today dad went dunno whether 2 eat sch wat,0
oh okie lorwe go sat,0
argh 3g spotty anyway thing remember research province sterling problemfree place looked,0
ill meet lobby,0
u secret admirer looking 2 make contact ufind rreveal think ur specialcall 09058094599,1
urgent mobile 077xxx £2000 bonus caller prize 020603 2nd attempt reach call 09066362206 asap box97n7qp 150ppm,1
ive reached home n bathe liao u call,0
place ur point e culture module already,0
urgent trying contact u today draw show £2000 prize guaranteed call 09066358361 land line claim y87 valid 12hrs,1
babe need advice,0
gon na ask lol think 7,0
reason weve spoken year anyways great week best exam,0
hmm thinking lor,0
also da feel yesterday night wait til 2day night dear,0
yo way could pick something tonight,0
ever one foot,0
tell theyre female v howre throwing deciding get,0
ya even cooky jelly,0
langport sorry ill probably bed 9pm suck ill xmas go2sri lanka,0
7 wonder world 7th 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sm 1st ur lovely friendship good morning dear,0
alright omw got ta change order half8th,0
poor girl cant go one day lmao,0
kkwhat detail want transferacc enough,0
guess ltgt min,0
issue right ill fix tomorrow,0
dunno let go learn pilate,0
hellodrivby0quit edrunk sorry iff pthis make senrddnot dancce 2 drum n basqihave fun 2nhite x ro xxxxxxx,0
im sorry ive joined league people dont keep touch mean great deal friend time even great personal cost great week,0
problem walk around julianaland oblivious going around say thing constantly go one ear go whatever want dont know im upsetits dont listen tell going upset want surprised im mad,0
god asked forgiveness little child gave lovely reply wonderful fruit tree give hurt stone good night,0
doinghow,0
ambrithmaduraimet u arun dha marrgeremembr,0
hey something came last min think wun signing tmr hee,0
babe got enough money pick bread milk ill give back get home,0
aight see bit,0
stop story ive told ive returned he saying order,0
stalking u,0
watching surya movie 6 pm vijay movie pokkiri,0
ü predict wat time üll finish buying,0
